,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.177056345968,,,,0.212894311957,,0.346967080028,,,0.248201177033,,,,
1,0.0770335978034,0.0542625579433,,,0.0506309834449,0.162255040084,,0.186170032047,,0.0258372571625,,0.425967324558,,0.0140166558369
2,,,,0.0502516622392,0.0650514253373,,0.0997821625852,0.624785337731,,,,0.0854456825964,0.0665068099931,
3,0.0557645407209,,,,,,,,,,0.285163185857,0.431468145522,0.213026797236,
4,0.194348130012,,,,,,,,0.10888012317,0.0219179306973,,,0.661626256304,
5,,,,,,0.282887029662,,0.307355773171,,0.386647879017,,,,
6,,,,,0.055488530643,,0.0290622547529,,,,0.344101407216,0.551519623297,,
7,0.0636345789455,,,0.159094434465,0.466876476009,,,,,,,,,0.292537304811
8,0.0192476770125,0.0916797784517,,,0.222756033484,0.0130880224735,0.208751937419,0.0326224766624,0.107813980088,0.252381012062,,0.050360375603,,
9,,,0.135984724392,,,0.0571969558398,0.299652821836,,,,0.493429192873,,,
10,0.0686565638296,0.0107248088892,0.0723292989423,,,0.279546195069,,0.0279339188303,,,0.292060808781,,0.196137802529,0.0450917593087
11,,,,,0.904440807553,,,,,,,,,0.0807808004842
12,,,,,,,0.0956087873305,0.0341615098735,,,,0.828318799319,,0.0256770948326
13,,0.359115821411,0.202320232774,,0.0950284312626,0.160717254898,,0.0987596410375,,,,0.0526335453403,0.0287512616061,
14,,,,,,,0.121185804106,0.135907444604,,,0.46470377957,0.271767934211,,
15,,,,,,,0.383667096186,0.106984258508,,,,0.313869811871,0.177163791566,
16,,,,,,0.613716239392,,0.115904964484,,0.147641883736,,,,0.107539285367
17,,,,0.082902696027,,,,,,,,,,0.855872720191
18,,,,0.099892541618,,,,0.0985198395434,,,,,,0.730158929615
19,0.0101162367958,0.0366800298968,0.0680533469302,0.0109880079124,,,0.0838945019628,0.033331512778,,0.025962382702,0.261132519733,0.435336090058,,0.0332738330968
20,0.0114269672159,,,,,0.50043972244,0.0937155229467,0.0606779161893,,,0.0147218112735,0.113993770962,,0.194183658433
21,0.0392900300353,0.0622363725783,0.174945497109,,,,0.185864739888,0.0120193398204,,,0.338646802142,0.152504539038,0.0239754223312,
22,,,,,,0.857207570285,,,,,0.0364795359977,,0.0892320817327,
23,,0.175728420588,,,,,,,0.803365518697,,,,,
24,,0.14357929836,,,,,,0.0970510395443,0.132181085921,0.102417064241,,,,0.508699999383
25,,,,,,,,,0.982142693257,,,,,
26,0.0901750615257,,0.08568782101,,,,,0.296893310712,,,0.215943162198,0.158941090858,0.0516824679693,0.0859710992215
27,,,,0.737514592034,,,,,,0.205342518144,,,,
28,,,,,,,,0.945484228273,,,,,0.0325377146225,
29,0.0177595145705,,,,,0.0189269780811,,0.0225309285661,,,,0.869044181477,0.0606546150183,
30,,,,,0.86017022444,,,,,,,,,0.123956707632
31,,,,,0.36690858645,,,,0.604519889667,,,,,
32,,,,,,,0.516618330746,,,,0.0555192047319,0.365546009914,0.0485801769247,
33,,,,,0.0491802039613,0.37907331314,0.0278035036494,0.0755065057134,,,,0.225216275401,,0.236726679319
34,0.286226142366,,,,,0.256754999198,,,,,0.102604019377,,,0.334006605158
35,,,,,0.154559754273,0.333154148241,0.0596183336568,0.203187710083,,,0.0356965047115,,0.092855608757,0.109564226079
36,,,,,,,0.118919911104,0.124526548688,0.0486758918433,,0.180912504025,0.515060348592,,
37,0.256942963024,,,,,,0.293902349972,,0.301622477285,0.0273149501716,,0.059850678751,0.0578712475568,
38,,0.450107418552,,,,,,0.404286153208,,,,0.132059585765,,
39,0.550447812255,0.022235939275,0.213307241484,,,,,,0.0227661819775,,,,0.18618094727,
40,,,,0.647807956414,,,,,0.074002842054,0.258546273026,,,,
41,0.0495377368092,0.0417527139367,,,,,0.305217317803,,,,,0.135103888851,0.0406333937253,0.422512451133
42,,,,,,0.563177297054,0.0297972152337,,,0.0555532750957,,,,0.334860874599
43,0.359921872512,0.402947296312,,,,,0.0338382276213,0.116675772767,,,0.064449261596,,,
44,,,,,,0.67260593446,,,,,0.261427143767,0.0414132940831,,
45,,0.080789134606,,,,,0.185874046474,0.042268188773,,,,0.150705718097,0.533450442112,
46,0.367364325366,,,,,0.385782409512,,0.119019776729,,,,,,0.113827833704
47,,,,,0.211374428964,,0.0987933609037,0.474526940382,0.029056648184,,,0.17094244739,,
48,,,,0.447543932344,,,,,,,,,,0.481027197303
49,,,,0.832596618947,0.134436335569,,,,,,,,,
50,0.0723827117339,0.0386439107801,,0.0107793645678,,,0.0921708418721,0.0294365859124,,,0.661667926411,,0.0919246366036,
51,,,,,0.705845871087,0.110903860257,,,,,,,,0.159440610901
52,0.339526194307,,,,,,0.457808073554,,,0.0212234711574,,,0.171789705226,
53,,,,0.0792924138085,,,,,,,,,,0.859483062256
54,0.169490783797,,,,,,,0.471643756851,,,,0.139368769385,0.183782364796,
55,,,0.169270279003,,,,0.443857342743,,,,,0.10643783866,0.157751200751,0.111599541836
56,,,,,,,,0.367242111687,,,0.0885512943755,0.527125804847,,
57,,,,0.0919808628457,,,,,,0.0892856664373,,,,0.753257184726
58,,,,0.806911834707,,0.0451110956183,,,,,,,,0.127830474552
59,0.284052631359,,,0.175715966423,,0.114925732723,,0.100764202428,0.020242478423,,,0.202477731937,0.0981447627812,
60,0.136533748911,,,0.256631269206,,0.0207897416168,,,,,0.451200162189,,0.109980324438,0.0190338412141
61,0.210211312875,,,,0.113566609187,,,0.243573750791,0.0971656532659,,0.0291754855825,0.295917552602,,
62,0.0528857866475,0.182643967656,,,,,,,,,0.748101147978,,,
63,,,,,0.75910823675,0.217725687281,,,,,,,,
64,,,,,,0.440633244777,0.176626133054,0.169793561982,,,,,0.191301958924,
65,,,,,0.224223318966,0.17365573411,,,0.305559788676,,,0.137517819403,0.0885712817438,0.0592675292368
66,,,,0.853583383563,,0.114670530292,,,,,,,,
67,,,0.0533188280195,0.905864835148,,,,,,,,,,
68,,,0.0533212237735,0.905862432689,,,,,,,,,,
69,,,,,,0.113544883685,,0.568211681719,,,,,0.0779986555921,0.218599666822
70,,,,,0.228631959113,,0.110339571442,0.170786588577,,0.288188012609,,0.195214934011,,
71,0.36134333799,,,,,,,0.0216041073325,,,,,0.608952378413,
72,0.258587790628,,,,0.618947287119,,,,,0.0953712421458,,,,
73,0.714919419051,0.242720379095,,0.0248997831091,,,,,,,,,,
74,,,,,0.471827363685,,,0.302556909354,,,,0.0825649368643,0.134647382005,
75,0.028056763997,,,,0.0817024161532,,0.123737188157,,0.394463344686,,,0.337778192539,0.0320472463218,
