0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.001488114,0.310497232,0.145105029,0.001488105,0.001488108,0.001488107,0.001488104,0.087073042,0.305570976,0.001488103,0.138360777,0.001488096,0.0014881,0.001488106
0.000637758,0.203481735,0.000637757,0.087584095,0.047987737,0.00063776,0.044977516,0.48258341,0.000637763,0.128283437,0.000637757,0.00063776,0.000637757,0.000637757
0.299957175,0.269854996,0.000296385,0.000296386,0.289916355,0.035449551,0.025799948,0.01403356,0.000296386,0.006402013,0.018204718,0.000296385,0.000296388,0.038899756
0.00145773,0.001457735,0.001457734,0.901082983,0.00145775,0.001457732,0.001457728,0.001457728,0.00145773,0.02970489,0.001457726,0.001457726,0.001457731,0.053177075
0.001322753,0.087832625,0.001322752,0.001322753,0.001322755,0.715209087,0.001322753,0.001322753,0.182408001,0.001322753,0.001322753,0.001322752,0.001322752,0.001322758
0.002100862,0.002100856,0.069888955,0.002100854,0.002100852,0.002100849,0.22452173,0.002100854,0.002100849,0.682479938,0.002100842,0.002100842,0.002100848,0.002100869
0.140072429,0.409796551,0.00037793,0.011702964,0.037851727,0.00037793,0.020219405,0.000377931,0.00037793,0.000377929,0.00037793,0.000377929,0.357959224,0.019752189
0.001785722,0.00178572,0.001785715,0.001785717,0.446998291,0.001785728,0.00178572,0.001785718,0.051162724,0.001785715,0.001785716,0.48219608,0.001785717,0.001785717
0.026643967,0.035393423,0.000259741,0.018695917,0.185535994,0.000259741,0.000259742,0.107039339,0.058962978,0.000259741,0.007986488,0.000259742,0.000259741,0.558183445
0.001373641,0.195365818,0.001373629,0.037945671,0.001373628,0.074320227,0.001373632,0.022785025,0.00137363,0.00137363,0.024406718,0.001373628,0.63418749,0.001373632
0.001253136,0.264007803,0.001253141,0.038668991,0.001253138,0.097802195,0.109697906,0.119307607,0.061721186,0.129844236,0.00125314,0.001253134,0.17143125,0.001253137
0.001231528,0.001231531,0.001231531,0.001231529,0.783031728,0.001231534,0.001231533,0.001231532,0.202189897,0.001231529,0.001231538,0.001231529,0.001231529,0.001231533
0.001623393,0.609742547,0.001623382,0.159595949,0.001623383,0.064482456,0.149945237,0.001623378,0.001623378,0.001623379,0.001623377,0.00162338,0.001623378,0.001623383
0.000381973,0.055591513,0.000381974,0.000381972,0.090919998,0.069338269,0.000381974,0.213036794,0.026708753,0.052195486,0.48372873,0.00618862,0.000381972,0.000381974
0.164478154,0.150987555,0.000643503,0.000643503,0.000643505,0.000643503,0.000643509,0.000643503,0.000643503,0.000643505,0.000643501,0.000643501,0.480539447,0.197559807
0.061642769,0.749410551,0.001831503,0.001831507,0.001831504,0.001831513,0.001831504,0.001831503,0.058779688,0.001831506,0.001831502,0.001831502,0.111851942,0.001831507
0.001519758,0.001519762,0.720450143,0.026838262,0.00151976,0.00151976,0.235994226,0.001519769,0.001519764,0.001519761,0.001519758,0.001519759,0.001519759,0.001519759
0.078891282,0.005102045,0.005102042,0.005102042,0.005102047,0.005102054,0.005102048,0.005102043,0.00510205,0.005102044,0.005102073,0.859884146,0.005102042,0.005102041
