0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.326301619,0.026141967,0.373253268,0.001388892,0.001388892,0.001388892,0.001388891,0.001388891,0.186969766,0.001388891,0.001388891,0.001388894,0.042831901,0.032001448,0.001388896
0.00059524,0.000595239,0.263005104,0.408612519,0.018249228,0.100894573,0.000595239,0.000595239,0.027718606,0.06406675,0.000595239,0.063347794,0.000595239,0.049938753,0.000595239
0.000276626,0.000276626,0.000276626,0.259314063,0.000276626,0.487196621,0.000276626,0.022013282,0.072665253,0.000276626,0.000276626,0.118430397,0.037890751,0.000276626,0.000276626
0.001360547,0.001360548,0.001360546,0.001360546,0.001360548,0.001360545,0.001360548,0.001360561,0.901265292,0.001360546,0.001360545,0.081047593,0.001360544,0.001360545,0.001360545
0.437615992,0.527316817,0.001234569,0.001234569,0.001234569,0.001234571,0.001234569,0.001234572,0.001234571,0.001234569,0.001234568,0.00123457,0.001234569,0.001234568,0.020252357
0.001960787,0.001960786,0.212141985,0.00196079,0.092613977,0.195049804,0.001960785,0.001960788,0.001960789,0.446734768,0.001960787,0.001960789,0.033851586,0.001960786,0.001960794
0.000352734,0.000352734,0.000352734,0.582503573,0.000352735,0.000352734,0.006859103,0.276382269,0.048997276,0.000352734,0.000352734,0.081730436,0.000352734,0.000352735,0.000352734
0.238459773,0.001666669,0.001666668,0.001666669,0.001666668,0.001666668,0.001666668,0.001666668,0.001666668,0.001666668,0.739873537,0.001666669,0.001666667,0.001666667,0.001666674
0.197991578,0.000242425,0.104991,0.000242425,0.049976213,0.00072994,0.000242425,0.000242425,0.068107397,0.000242425,0.019183912,0.534547358,0.000242425,0.000242424,0.022775628
0.001282056,0.001282052,0.001282053,0.001282057,0.001282056,0.001282053,0.797219034,0.162895499,0.001282055,0.001282054,0.001282051,0.001282053,0.024500822,0.001282054,0.001282051
0.081653585,0.001169594,0.217052765,0.117894564,0.001169593,0.095583135,0.308427173,0.001169594,0.103745816,0.001169593,0.001169591,0.001169595,0.001169593,0.066286217,0.001169591
0.001149428,0.001149428,0.001149427,0.001149426,0.001149427,0.001149428,0.001149426,0.001149427,0.14056604,0.001149427,0.111985095,0.733655739,0.00114943,0.001149426,0.001149426
0.001515153,0.001515152,0.001515152,0.670782982,0.1233867,0.029867372,0.001515152,0.001515152,0.001515154,0.084910364,0.001515152,0.001515153,0.001515152,0.075901058,0.001515153
0.000356507,0.130740561,0.550640857,0.000356507,0.06656989,0.042173053,0.000356507,0.000356507,0.000356507,0.034011044,0.000356507,0.053142332,0.119870207,0.000356507,0.000356507
0.000600602,0.000600601,0.000600601,0.238097184,0.085397445,0.000600601,0.000600601,0.400923415,0.000600602,0.015355744,0.000600601,0.099783459,0.000600601,0.15503734,0.000600601
0.330404102,0.151743948,0.001709402,0.169902093,0.13847361,0.001709403,0.001709402,0.001709402,0.160295525,0.001709402,0.001709402,0.001709402,0.001709402,0.033796102,0.001709402
0.001418441,0.001418441,0.518443049,0.00141844,0.225088809,0.030571422,0.042914834,0.00141844,0.001418441,0.168797472,0.001418444,0.001418441,0.00141844,0.00141844,0.001418445
0.004761907,0.004761907,0.00476191,0.004761905,0.004761905,0.004761911,0.004761906,0.004761905,0.004761907,0.004761905,0.933333299,0.004761907,0.004761915,0.004761905,0.004761905
0.00606061,0.006060607,0.00606061,0.006060621,0.006060607,0.006060611,0.006060648,0.006060606,0.006060607,0.098406926,0.822805106,0.006060607,0.006060622,0.006060606,0.006060606
0.106034508,0.000287357,0.008434086,0.169998129,0.067501339,0.000287357,0.268930213,0.148634991,0.174516393,0.038906911,0.000287357,0.000287357,0.000287357,0.015319288,0.000287357
0.011473138,0.020969871,0.115660953,0.00027894,0.529445972,0.038179852,0.014627112,0.19074746,0.018852176,0.000278941,0.00027894,0.008249405,0.00027894,0.024879526,0.025798772
0.05400697,0.000368325,0.000368325,0.000368325,0.024254029,0.000368325,0.124084378,0.398312676,0.3246928,0.000368325,0.000368325,0.000368325,0.000368325,0.071334224,0.000368324
0.001449277,0.001449277,0.285235544,0.001449277,0.534837972,0.134363503,0.001449278,0.001449277,0.001449277,0.001449279,0.001449276,0.001449278,0.001449278,0.029620925,0.001449282
0.001626022,0.729601044,0.001626019,0.040307432,0.001626019,0.001626017,0.001626019,0.001626018,0.001626019,0.210579303,0.001626017,0.001626019,0.001626019,0.001626017,0.001626016
0.001666671,0.001666669,0.540986199,0.001666668,0.001666667,0.001666667,0.001666671,0.333237423,0.001666668,0.001666672,0.001666678,0.001666668,0.028731967,0.00166667,0.078711041
0.147310057,0.732817411,0.001282052,0.001282054,0.001282052,0.001282052,0.030418176,0.001282052,0.001282052,0.07535178,0.001282054,0.001282052,0.001282051,0.001282052,0.001282051
0.001960789,0.001960789,0.001960789,0.001960787,0.001960788,0.001960786,0.001960788,0.15551656,0.095307629,0.725646367,0.001960785,0.001960788,0.001960785,0.001960785,0.001960786
0.004444445,0.004444444,0.004444449,0.004444444,0.004444444,0.004444445,0.004444445,0.004444446,0.004444444,0.004444444,0.004444445,0.004444445,0.804444512,0.137777687,0.004444459
0.001709402,0.001709402,0.001709404,0.001709404,0.001709402,0.313605064,0.134544594,0.001709403,0.001709402,0.001709403,0.001709404,0.001709404,0.001709402,0.001709402,0.53133751
0.001149426,0.001149428,0.001149425,0.065449777,0.001149426,0.001149426,0.001149426,0.040511678,0.37624476,0.366571778,0.001149428,0.001149426,0.001149425,0.139727743,0.001149426
0.001234569,0.001234569,0.420613809,0.001234569,0.001234569,0.00123457,0.001234568,0.001234569,0.001234569,0.001234569,0.001234569,0.563336796,0.001234568,0.001234568,0.00123457
0.002222224,0.324905216,0.002222226,0.002222226,0.002222223,0.002222227,0.002222223,0.002222224,0.002222223,0.095441279,0.002222223,0.552986811,0.002222228,0.002222223,0.002222223
0.001282053,0.001282052,0.001282051,0.001282054,0.284424079,0.001282052,0.001282053,0.001282052,0.698909244,0.001282052,0.001282051,0.001282052,0.001282051,0.001282052,0.001282052
0.023739909,0.013273245,0.069547618,0.000757576,0.623414308,0.000757578,0.019024751,0.027739679,0.000757577,0.070527175,0.000757576,0.054643384,0.000757577,0.023644027,0.07065802
0.145200333,0.001904764,0.243501357,0.243780573,0.001904762,0.001904762,0.278476333,0.069993772,0.001904764,0.001904763,0.001904762,0.001904763,0.001904765,0.001904763,0.001904765
0.061199385,0.001515153,0.409320426,0.150347341,0.001515157,0.001515158,0.001515154,0.253521308,0.044681953,0.001515154,0.067293177,0.001515156,0.001515154,0.001515167,0.001515158
0.288983396,0.052039961,0.001234569,0.538070845,0.001234569,0.078366959,0.001234569,0.00123457,0.001234569,0.001234569,0.001234568,0.001234569,0.001234568,0.03019315,0.001234569
0.421983478,0.421829933,0.000291121,0.000291121,0.000291122,0.000291121,0.000291121,0.000291121,0.152693133,0.000291121,0.000291121,0.000291121,0.000291121,0.000291121,0.000291122
0.09787663,0.001149426,0.001149426,0.001149429,0.001149427,0.001149426,0.001149429,0.001149427,0.001149429,0.887180814,0.001149434,0.001149426,0.001149425,0.001149427,0.001149426
0.786694828,0.206481019,0.000524935,0.000524935,0.000524935,0.000524935,0.000524935,0.000524935,0.000524936,0.000524935,0.000524935,0.000524935,0.000524935,0.000524935,0.000524934
0.001666668,0.001666674,0.001666668,0.001666668,0.001666668,0.131773897,0.001666667,0.00166667,0.001666667,0.001666668,0.103611426,0.150235176,0.596046145,0.00166667,0.001666667
0.092437253,0.000611622,0.042135977,0.000611623,0.000611624,0.000611623,0.17900885,0.000611623,0.664274324,0.000611622,0.000611622,0.000611623,0.016027372,0.000611622,0.000611622
0.001550389,0.001550389,0.41516825,0.001550388,0.527909,0.00155039,0.001550389,0.001550389,0.001550389,0.038318088,0.001550388,0.001550389,0.001550388,0.001550389,0.001550388
0.186476296,0.065589477,0.002298857,0.113063192,0.002298854,0.002298853,0.30918947,0.002298866,0.002298853,0.002298852,0.002298852,0.002298857,0.302693014,0.002298852,0.002298856
0.002083334,0.002083334,0.002083341,0.002083334,0.875701928,0.002083335,0.002083334,0.002083334,0.002083335,0.002083334,0.002083334,0.002083338,0.002083334,0.002083334,0.097214718
0.000716848,0.000716848,0.000716848,0.000716848,0.000716847,0.000716847,0.000716847,0.000716846,0.781891035,0.028931286,0.000716847,0.111854705,0.000716846,0.069437656,0.000716846
0.335772261,0.00130719,0.481887453,0.00130719,0.00130719,0.166653998,0.001307192,0.001307193,0.001307191,0.001307191,0.00130719,0.00130719,0.00130719,0.00130719,0.00130719
0.028167855,0.001587302,0.211098168,0.419125375,0.001587305,0.001587304,0.001587302,0.001587303,0.001587303,0.139131496,0.072698794,0.001587306,0.001587302,0.059058782,0.058021105
0.005555556,0.005555556,0.116768402,0.005555559,0.005555559,0.005555557,0.005555564,0.005555556,0.005555558,0.005555559,0.811009323,0.005555567,0.005555571,0.005555556,0.005555556
0.002564103,0.002564103,0.002564103,0.002564103,0.002564103,0.121560767,0.002564103,0.002564103,0.002564103,0.002564103,0.002564103,0.002564105,0.845105894,0.002564103,0.002564103
0.042117773,0.000399202,0.000399202,0.000399202,0.000399202,0.000399202,0.535690187,0.295880244,0.082756259,0.02374916,0.000399202,0.016213558,0.000399202,0.000399202,0.000399202
0.037957307,0.002020204,0.002020207,0.002020203,0.002020204,0.002020203,0.002020202,0.002020203,0.002020203,0.197460526,0.002020221,0.740339704,0.002020205,0.002020203,0.002020205
0.833113609,0.000900902,0.000900903,0.000900902,0.000900902,0.000900901,0.000900902,0.000900901,0.155174666,0.000900902,0.000900902,0.000900902,0.000900901,0.000900902,0.000900901
0.004761906,0.004761906,0.004761905,0.004761905,0.004761905,0.004761905,0.004761906,0.004761905,0.076696899,0.004761905,0.861398317,0.004761906,0.00476192,0.004761905,0.004761905
0.003333334,0.003333333,0.003333335,0.003333342,0.003333343,0.003333338,0.003333335,0.003333334,0.110656126,0.003333334,0.003333334,0.003333334,0.003333334,0.003333334,0.846010511
0.418191253,0.001149428,0.001149427,0.08428286,0.001149428,0.001149428,0.205759949,0.001149427,0.256248192,0.024023476,0.001149425,0.001149427,0.001149426,0.001149427,0.001149426
0.001449278,0.001449276,0.001449277,0.327158465,0.623598089,0.001449276,0.001449276,0.001449276,0.001449282,0.001449279,0.001449276,0.001449279,0.001449276,0.001449276,0.03185212
0.00555557,0.005555557,0.101662199,0.005555556,0.005555556,0.088995537,0.005555557,0.005555556,0.005555556,0.078305025,0.66992609,0.005555556,0.005555573,0.005555556,0.005555556
0.001709402,0.001709402,0.001709403,0.001709403,0.057766478,0.001709402,0.001709402,0.001709402,0.001709402,0.001709402,0.197171301,0.001709403,0.724549396,0.001709402,0.001709402
0.000490198,0.000490198,0.122860427,0.000490197,0.118380604,0.000490197,0.232975701,0.000490197,0.379842213,0.000490197,0.005172346,0.036824401,0.000490197,0.053649689,0.046863238
0.000680275,0.000680272,0.000680273,0.000680272,0.000680273,0.000680272,0.035583727,0.86319241,0.000680272,0.000680272,0.000680273,0.000680273,0.09306059,0.000680273,0.000680272
0.187824012,0.084439157,0.001212123,0.56591393,0.001212123,0.078588187,0.001212123,0.001212123,0.001212123,0.037089761,0.001212123,0.001212125,0.001212122,0.035235846,0.001212123
0.06487518,0.001388892,0.001388892,0.001388891,0.001388893,0.001388892,0.476533269,0.231266482,0.157114242,0.001388891,0.001388891,0.001388892,0.001388891,0.056321913,0.001388889
0.001801802,0.001801805,0.001801806,0.001801802,0.064143104,0.001801804,0.001801804,0.001801803,0.001801803,0.001801803,0.264475477,0.649759774,0.001801809,0.001801802,0.001801803
0.002020207,0.002020204,0.497818541,0.002020205,0.002020206,0.002020204,0.101913259,0.002020204,0.376025743,0.002020206,0.002020203,0.002020206,0.002020203,0.002020204,0.002020205
0.001307192,0.33659339,0.044254305,0.127484067,0.102212034,0.001307195,0.001307191,0.00130719,0.051536175,0.001307191,0.00130719,0.164008288,0.00130719,0.00130719,0.163454213
0.002469136,0.002469153,0.002469138,0.002469136,0.002469144,0.11446728,0.002469146,0.00246914,0.002469136,0.002469138,0.002469136,0.002469138,0.853433897,0.002469146,0.002469136
0.003174603,0.003174604,0.003174604,0.003174603,0.003174603,0.003174603,0.003174604,0.003174603,0.003174603,0.003174603,0.003174604,0.054303822,0.904426334,0.003174603,0.003174603
0.003174603,0.003174604,0.003174604,0.003174603,0.003174603,0.003174603,0.003174604,0.003174603,0.003174603,0.003174603,0.003174604,0.055207773,0.903522382,0.003174603,0.003174603
0.002020203,0.002020203,0.653160799,0.002020205,0.093681636,0.100782286,0.130153035,0.002020203,0.002020205,0.002020204,0.002020202,0.002020203,0.002020203,0.00202021,0.002020203
0.087047978,0.000709221,0.000709221,0.202744137,0.240256378,0.000709224,0.000709221,0.000709221,0.000709221,0.000709221,0.000709221,0.223698418,0.00070922,0.000709221,0.23916088
0.133331183,0.18476599,0.000687286,0.000687287,0.000687288,0.000687286,0.000687286,0.000687286,0.458971267,0.215371412,0.000687286,0.000687287,0.000687285,0.000687286,0.000687287
0.002298854,0.002298852,0.002298854,0.002298852,0.162366884,0.088417789,0.002298853,0.002298853,0.002298852,0.002298852,0.002298854,0.721629096,0.002298851,0.002298851,0.002298852
0.107870678,0.001481483,0.001481484,0.001481483,0.001481487,0.001481482,0.844433478,0.001481483,0.001481483,0.001481483,0.001481482,0.001481483,0.029918046,0.001481482,0.001481482
0.425799013,0.000784316,0.000784315,0.098323845,0.128714485,0.000784316,0.000784314,0.017033077,0.02599114,0.134784652,0.000784314,0.163079268,0.000784314,0.000784314,0.000784315
0.056137108,0.399240659,0.000258398,0.080928567,0.293138192,0.028690519,0.000258398,0.000258398,0.000258399,0.021154565,0.000258398,0.118643205,0.000258398,0.000258398,0.000258398
0.001333336,0.001333335,0.192505952,0.001333335,0.001333335,0.001333336,0.001333336,0.086694912,0.001333335,0.001333335,0.001333336,0.115155473,0.001333336,0.001333335,0.590976974
0.053510672,0.000331676,0.000331675,0.000331676,0.000331676,0.000331676,0.000331676,0.000331675,0.942177547,0.000331676,0.000331675,0.000331675,0.000331675,0.000331675,0.000331675
0.001418441,0.250153021,0.154979829,0.001418442,0.001418442,0.104773748,0.00141844,0.001418444,0.001418444,0.067509074,0.001418442,0.40839991,0.001418441,0.001418443,0.00141844
0.004761909,0.004761907,0.004761906,0.004761907,0.004761905,0.091302397,0.004761906,0.004761905,0.004761906,0.004761905,0.846792813,0.004761906,0.004761917,0.004761905,0.004761905
0.001282056,0.001282052,0.001282056,0.001282054,0.001282054,0.001282054,0.001282053,0.001282054,0.001282054,0.001282054,0.001282052,0.001282053,0.982051247,0.001282054,0.001282055
0.20570817,0.001190478,0.001190478,0.00119048,0.10517689,0.001190479,0.001190477,0.001190477,0.001190478,0.001190478,0.001190477,0.604406436,0.001190478,0.001190478,0.071613247
0.4341334,0.001282053,0.549199916,0.001282052,0.001282052,0.001282052,0.001282053,0.001282053,0.001282053,0.001282052,0.001282051,0.001282052,0.001282052,0.001282057,0.001282052
0.001709408,0.001709404,0.001709405,0.145487357,0.001709403,0.001709403,0.001709405,0.001709403,0.001709403,0.001709402,0.255090076,0.578909719,0.001709404,0.001709404,0.001709402
0.026784068,0.729594509,0.001257863,0.063167907,0.001257862,0.001257862,0.001257863,0.001257863,0.001257862,0.001257862,0.001257862,0.166617027,0.001257862,0.001257865,0.001257862
0.338648679,0.000865802,0.000865803,0.000865803,0.000865803,0.000865802,0.000865802,0.000865802,0.086530986,0.470002499,0.000865802,0.000865802,0.000865802,0.09529401,0.000865802
0.778548871,0.125750502,0.000673402,0.02842624,0.000673402,0.000673403,0.000673401,0.000673401,0.05986697,0.000673401,0.000673402,0.000673401,0.000673401,0.000673401,0.000673401
0.783878994,0.000680273,0.000680273,0.000680273,0.000680273,0.000680272,0.000680273,0.000680274,0.000680273,0.000680272,0.011341073,0.000680273,0.196616659,0.000680273,0.000680272
0.002298857,0.800197508,0.002298858,0.002298856,0.002298855,0.169917355,0.002298857,0.002298855,0.002298857,0.002298861,0.002298852,0.002298862,0.002298853,0.002298862,0.002298852
0.462534229,0.012534316,0.023307074,0.299143172,0.000250627,0.067004923,0.066164021,0.005570418,0.048044679,0.009471493,0.000250627,0.000250627,0.00497254,0.000250627,0.000250627
0.364859512,0.612333445,0.001754387,0.001754387,0.001754387,0.001754388,0.001754391,0.001754391,0.001754388,0.001754387,0.001754386,0.001754387,0.00175439,0.001754388,0.001754386
0.003174605,0.003174608,0.773337086,0.003174605,0.003174614,0.003174604,0.003174606,0.003174624,0.003174606,0.185393007,0.003174604,0.003174607,0.003174611,0.003174603,0.00317461
0.101999904,0.015576527,0.005793129,0.258599519,0.504341268,0.000233919,0.014202977,0.000233918,0.092361393,0.000233919,0.000233918,0.000233919,0.000233918,0.005487853,0.000233918
0.038291384,0.190609542,0.134142369,0.000995026,0.000995026,0.000995029,0.000995027,0.000995025,0.252281045,0.227614871,0.000995025,0.000995027,0.148105553,0.000995026,0.000995027
0.518162551,0.000177778,0.000177778,0.046292551,0.105087218,0.02787631,0.000177778,0.000177778,0.247629282,0.040604604,0.003025173,0.000177778,0.000177778,0.010077863,0.000177778
0.001666673,0.286207626,0.068224691,0.001666669,0.00166667,0.115774408,0.001666668,0.001666671,0.001666668,0.001666668,0.001666671,0.178610358,0.334516205,0.001666669,0.001666686
0.005555556,0.005555556,0.005555556,0.005555556,0.005555557,0.00555558,0.005555556,0.005555556,0.005555556,0.005555556,0.922222124,0.005555563,0.005555617,0.005555556,0.005555556
0.001307192,0.084993138,0.153794388,0.001307193,0.001307192,0.520992006,0.001307192,0.001307192,0.042367883,0.001307194,0.00130719,0.184780662,0.00130719,0.001307193,0.001307195
0.046915013,0.001333337,0.001333335,0.001333334,0.001333334,0.001333334,0.001333338,0.817545858,0.001333335,0.119539107,0.001333334,0.001333335,0.001333339,0.001333334,0.001333334
0.002666667,0.002666667,0.002666669,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.002666668,0.098721772,0.866611556,0.002666667,0.002666667
0.000314467,0.097642851,0.000314466,0.000314466,0.407416764,0.10659432,0.000314466,0.000314466,0.066778717,0.135681343,0.000314466,0.183055812,0.000314466,0.000314466,0.000314466
